method,mae,rmse,mape,r2,time
ivf_rf,0.5489058616961522,0.6995369128266672,0.09796435904155675,0.4062525500353672,0.3656167984008789
swf_rf,0.5489103116112651,0.69957493104724,0.09796631739088821,0.4061880106679524,0.28124237060546875
owf_rf,0.5489537869731262,0.6995950261537518,0.09797386393905917,0.40615389599052165,0.3258342742919922
mrf_rf,0.5485898157711715,0.7034751446638091,0.09802301740463613,0.3995484086079204,0.466655969619751
xgb,0.5484874431903546,0.6843211247620201,0.09768192186504057,0.3611791108590535,0.04769110679626465
rf,0.516032803299787,0.6489259281836166,0.0920345550538067,0.42555365645883847,7.152557373046875e-07
xt,0.5716825541160679,0.7081588944502726,0.10212406669376158,0.31589834047545984,2.384185791015625e-07
ivf_rf,0.5159442998998144,0.6488411221411821,0.09201744650764522,0.4257037917379769,0.37991976737976074
swf_rf,0.5159419690139248,0.6488520214091602,0.09201842127733699,0.4256844974588938,0.278613805770874
owf_rf,0.5159954816884288,0.6488936628581679,0.09202787550440958,0.42561077927251945,0.3245246410369873
mrf_rf,0.5162649447166997,0.6494877917279342,0.09217930688754694,0.4245584729612494,0.44661903381347656
xgb,0.5530190214743981,0.6981706194947425,0.09931482094227903,0.38113038724785053,0.05604696273803711
rf,0.5290099835754019,0.669463569843161,0.0953835938078261,0.4309768713269616,4.76837158203125e-07
xt,0.5843091145681002,0.7373720530033157,0.10557862751711702,0.3096817291788384,7.152557373046875e-07
ivf_rf,0.528951896915516,0.6693972038523738,0.09537173367076723,0.4310896837744077,0.38596653938293457
swf_rf,0.5289466980547882,0.6694105066164602,0.09537209802383363,0.43106707192339067,0.28868746757507324
owf_rf,0.5289832966876842,0.6694459515949632,0.09537908843470572,0.4310068208544535,0.32210397720336914
mrf_rf,0.526937452266188,0.6668526803065774,0.09517957829431493,0.43540656575599745,0.4546020030975342
xgb,0.5574818739524254,0.7026947363198967,0.09780590355498159,0.34727908991380807,0.11555147171020508
rf,0.5268176547415475,0.6656073525077938,0.0924846220429663,0.4143605201552364,7.152557373046875e-07
xt,0.5837945798501161,0.7317269261368662,0.10305358129400356,0.29222992250698154,4.76837158203125e-07
ivf_rf,0.5267989571996484,0.6655756958731863,0.09248137897386294,0.414416225471844,0.37596797943115234
swf_rf,0.5267598122956944,0.6655806777128997,0.09247423036492368,0.41440745924002553,0.2811155319213867
owf_rf,0.5268023383143937,0.6656106984162617,0.09248188218641362,0.4143546322965388,0.31638073921203613
mrf_rf,0.5256845761650507,0.6688978337312175,0.09238070001913365,0.4085558999700948,0.45290589332580566
xgb,0.5502702962435209,0.7067241201308445,0.09705331703783975,0.355500383654224,0.05775904655456543
rf,0.5246794229144671,0.6703776003463521,0.09270509616679891,0.42008836177194564,2.384185791015625e-07
xt,0.5771921746412548,0.7319507516253008,0.10212658748287988,0.308668162400331,7.152557373046875e-07
ivf_rf,0.5246245357174136,0.6703382018249875,0.09269651818029769,0.42015652332648046,0.3730168342590332
swf_rf,0.5245837615813651,0.6703340564419251,0.09268946513800566,0.4201636948285322,0.28347063064575195
owf_rf,0.5246290598558203,0.6703435594293433,0.09269683529273576,0.42014725461900615,0.32120823860168457
mrf_rf,0.5203037127761135,0.6704766520913906,0.09196945162934836,0.41991697924566196,0.4665696620941162
xgb,0.5474069305566641,0.6983522050025737,0.09771995039460714,0.3579045606429889,0.04784727096557617
rf,0.5166292610265709,0.6666263110043155,0.092264237220433,0.4149197081811301,4.76837158203125e-07
xt,0.5747734253262107,0.7339894119709535,0.103092983590904,0.29069967635533756,4.76837158203125e-07
ivf_rf,0.5165744091915837,0.6665757686378035,0.0922553312144223,0.4150084242159995,0.3760087490081787
swf_rf,0.5165552350427399,0.6665841655694348,0.09225108373430715,0.4149936857108295,0.2847919464111328
owf_rf,0.5166037388697853,0.6666121609817316,0.09225986275279281,0.41494454611908915,0.3459134101867676
mrf_rf,0.5152305750969669,0.667013751102304,0.09198633182640525,0.4142394186829056,0.446638822555542
xgb,0.5587040439018837,0.7091521984301702,0.10061383615992736,0.32360936071661606,0.1064598560333252
rf,0.5322987393777728,0.678498841893035,0.09595245391461683,0.380820024113644,4.76837158203125e-07
xt,0.5785339134777162,0.7259147241632647,0.10448491867011574,0.2912551884581027,4.76837158203125e-07
ivf_rf,0.5321790465631576,0.6783952780189737,0.09592906832134294,0.38100902895548905,0.3828413486480713
swf_rf,0.5322061522033551,0.6784561342339418,0.09593442435095988,0.38089796940537746,0.27965450286865234
owf_rf,0.532261282718725,0.678484756524639,0.09594546996569625,0.38084573171106073,0.3213834762573242
mrf_rf,0.5317075536968687,0.6794537965998693,0.09595556497663628,0.37907586509314617,0.44756317138671875
xgb,0.5536860931836641,0.6983895882650916,0.09841332854834522,0.3508084050352106,0.06710386276245117
rf,0.5288474871425676,0.6742050819421553,0.09420838029366838,0.3949915789942523,4.76837158203125e-07
xt,0.576877923691724,0.7245222259424254,0.1029689148808225,0.3013159943067013,9.5367431640625e-07
ivf_rf,0.5287764072524961,0.6741396319202393,0.09419319519838917,0.3951090384838051,0.3745415210723877
swf_rf,0.5287870530003265,0.6742048592032177,0.0941965449013005,0.3949919787506895,0.2819218635559082
owf_rf,0.5288357259372728,0.6742088202295753,0.09420607504339037,0.3949848697548829,0.325453519821167
mrf_rf,0.5286843334209352,0.675047609567642,0.09424901971219272,0.3934785236324989,0.4570963382720947
xgb,0.5329706500126765,0.6685213475616346,0.09444863456684155,0.36206533882493375,0.05443406105041504
rf,0.5048681438912714,0.6398517785151898,0.08942210246061358,0.4156078109914034,4.76837158203125e-07
xt,0.559207901234183,0.7018813565008573,0.09929910270066855,0.2968094056020908,7.152557373046875e-07
ivf_rf,0.5048170566267186,0.6398119045199642,0.08941260991547416,0.4156806445008925,0.3742973804473877
swf_rf,0.5047979854250944,0.6398210044853275,0.08940996928293436,0.415664022979248,0.28575611114501953
owf_rf,0.5048402005638816,0.639841121904955,0.08941728336548815,0.4156272767118454,0.32193875312805176
mrf_rf,0.5029739626371814,0.6404435422676367,0.08916202743141394,0.41452636668751364,0.4612236022949219
xgb,0.560855801655696,0.714024076685202,0.09914989993423769,0.36271956417261175,0.05592918395996094
rf,0.5302268149898105,0.6800717390945549,0.09400071342247128,0.4218848787052033,4.76837158203125e-07
xt,0.5896278683113876,0.7451840356950994,0.1045216886222103,0.3058841555701475,2.384185791015625e-07
ivf_rf,0.5301658660411555,0.6800072656325106,0.09399090795029841,0.4219944886606546,0.37635064125061035
swf_rf,0.5301155079282889,0.6800106113645155,0.09398231907821349,0.42198880090879254,0.28018641471862793
owf_rf,0.5301841763537712,0.6800432766808223,0.09399379353454172,0.42193326832792344,0.32121753692626953
mrf_rf,0.5280131377915496,0.6798920082387445,0.09362580726854944,0.42219040939967933,0.46034979820251465
